class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
e,3.0094240490714537,f,t,u,f,a,c,w,6.222940741940493,20.807329285439433,w,f,f,d,a
e,7.332992116994585,o,t,y,f,f,f,f,4.722345168204531,25.125277502683826,y,f,f,d,u
p,6.163793777268543,o,t,e,f,f,f,f,4.006857123925784,23.66247338803016,y,f,f,p,a
e,2.508851393840295,x,g,b,f,a,c,w,2.805462841517236,0.9188295381130547,n,f,f,d,a
p,6.697885403850566,s,d,w,t,d,c,w,4.500208993956342,10.617398621528123,n,f,f,d,u
p,8.773364982479578,x,d,w,t,d,d,y,6.557108718260425,15.209657145138234,y,f,f,d,a
p,0.5594378584386638,b,g,n,f,a,d,y,4.084899952847398,4.292082620351517,n,f,f,d,u
e,8.611998304931685,b,y,n,f,e,c,w,22.315189982201954,19.39422814370801,w,t,m,m,a
p,1.4201973433548165,x,w,y,f,a,d,n,5.721010439594233,0.7370475671082191,n,f,f,d,s
e,5.2907461586134845,s,w,y,f,f,f,f,5.011939688642235,15.606226649330637,y,f,f,d,u
p,7.970992451960606,s,d,y,t,d,c,y,7.067178340728707,14.60383179086863,n,f,f,d,u
e,9.205761604424502,x,e,n,f,a,c,w,8.01289843453354,18.170259751583778,w,f,f,d,a
e,10.831801859667104,s,t,u,t,e,c,g,6.915315314517077,16.26045910154134,g,t,f,d,u
e,10.906912306660871,o,t,e,f,f,f,f,4.7155794993437015,18.479519546851428,n,f,f,d,u
p,1.7834520653025185,x,i,k,f,e,c,w,5.980013125693737,6.176571566528391,w,t,f,g,u
e,4.2453854061685545,f,y,n,f,e,c,n,5.562741379400229,6.838676888251322,n,f,f,w,a
p,8.225916723110679,f,t,n,f,x,c,p,12.048066722804167,19.817615357309524,w,f,f,d,a
p,5.249287525213011,s,d,y,t,d,d,y,3.857938432438319,12.630184672833463,y,f,f,d,a
e,6.6968258624524335,s,y,n,f,d,c,p,4.575953310264314,6.871022180238214,n,f,f,g,a
p,1.8251618834854344,b,h,o,f,a,c,w,2.9543903497252177,6.560515564797127,w,t,f,d,u
e,0.9979933912477154,b,s,n,f,a,d,g,6.068729643464486,4.265319468055098,n,f,f,m,s
p,22.194401374327498,x,t,n,t,p,c,w,11.537313044852558,38.306431034464126,n,f,f,d,u
p,2.3448194042287085,f,w,u,f,a,c,g,3.9895732379760624,3.2887094859345654,u,f,f,d,u
e,3.1323646085841674,b,y,w,f,e,c,p,6.036481142431472,4.2960147225679615,w,t,e,g,a
e,4.950970756349023,x,t,n,f,f,f,f,5.9636454821936296,9.496565705522194,n,t,r,d,u
e,9.387788683611026,p,s,w,f,e,c,f,7.790195348245577,20.13034312956028,w,t,l,m,w
p,3.580087104353374,f,s,e,f,d,c,y,6.634829905821058,6.523755485441234,n,f,f,d,w
p,1.2844868111528693,x,i,y,f,a,c,k,5.7634905027326155,-0.3264265301294986,y,f,f,g,a
p,9.322789467611553,f,y,n,f,s,c,p,7.179869533681917,15.615613708951589,w,f,f,d,a
p,4.693941019990574,c,l,w,f,f,f,f,6.203781974505927,15.418985742318739,w,f,f,d,u
e,3.3360286834997925,x,h,l,f,a,c,g,4.250483274890098,1.9063654356277775,w,f,f,g,w
e,0.8714761107885596,o,l,n,f,f,f,f,0.21353645802695229,3.302785200079736,f,f,f,d,u
p,6.689314239316029,x,t,o,f,d,c,o,6.3353525116227285,14.37727047823343,o,f,f,d,u
p,7.956992291642871,x,s,o,f,a,d,y,3.881235593133225,13.197058667683898,y,f,f,h,u
p,3.8300475466562625,c,t,w,t,d,c,p,4.486909507077032,13.9381224522501,w,f,f,d,u
p,7.030315951372572,b,w,g,f,s,d,g,5.039941139591932,12.925301269869243,w,f,f,d,u
p,8.300157203130372,o,k,n,f,s,c,y,4.465396635808437,42.96981687180083,k,f,f,d,u
p,5.874581842745394,b,t,w,f,f,f,f,8.380671249554398,12.455871153413305,w,f,z,d,a
p,5.34215306510042,o,l,e,f,f,f,f,-0.034805174177369,66.52945149132118,f,t,f,l,s
e,1.2842082385021572,x,w,y,f,a,d,k,6.726892137386403,-0.5441000030922161,w,f,f,g,u
p,4.282977517623883,b,y,n,f,e,c,w,11.651968639859323,2.4419841486298046,n,t,e,m,s
e,3.515566561367471,x,h,l,f,s,c,w,5.143564736964396,8.391339688737702,w,f,f,g,u
e,7.426811703885857,f,h,n,f,s,c,w,5.235390748245665,27.446353496311893,g,f,f,d,u
p,3.002409594798645,x,e,y,f,a,c,r,7.5868413697188455,4.753534647349472,n,t,z,d,u
e,9.381912974684216,s,s,e,f,d,d,f,8.02861074031614,13.173235705679213,n,f,f,d,a
p,0.7162599730269364,x,g,n,f,a,c,n,3.763256559812296,-1.1535550287154437,n,t,f,m,u
e,4.110160516883221,f,t,u,f,a,c,w,5.110790045051611,6.682124285988557,g,f,f,d,u
p,8.871559953792957,f,h,r,f,a,c,w,5.7514974275977115,19.965947295758856,w,t,f,d,u
p,2.8766156770619533,x,s,y,f,a,d,y,6.99313630750389,4.046250241275779,y,f,f,h,a
e,6.283779967765778,x,h,n,f,a,c,n,10.091896823446152,11.319644731022379,g,t,l,d,u
p,4.484438940662702,x,g,y,f,a,d,w,5.847043014412568,5.316458386724929,w,t,g,d,u
e,5.763699656496038,f,l,n,f,x,c,n,7.202598869364316,18.435382364551273,n,f,f,l,u
p,9.021775322450205,s,t,r,t,d,c,n,3.918591323140813,12.069575761379166,n,f,f,d,u
e,4.6978229666927644,f,s,w,t,d,d,w,4.731555877277881,14.032818236144736,w,f,f,d,a
e,5.5507161052447485,p,g,w,f,e,c,w,16.600194307651673,9.944312910024518,w,t,e,d,u
p,7.156502463713598,x,y,y,f,x,c,w,6.673137087505568,10.563759872092145,w,f,f,d,a
p,7.45680592578624,f,y,w,f,s,c,w,4.816153363309009,14.835688883923622,w,t,e,d,a
e,8.199420244637352,s,t,g,t,d,c,o,6.881932262886085,20.736398552246065,w,f,f,d,a
p,1.6721570910229144,s,t,u,f,a,f,u,4.492255152741141,7.4846661679532485,w,f,f,p,a
e,3.3210144018325214,s,t,u,f,a,c,w,4.152953390017078,6.602740397022217,n,f,f,d,a
p,10.397377604398388,x,e,n,t,a,c,n,13.49225880436267,26.655820521155924,w,t,l,d,a
p,0.8487201191251363,f,g,n,f,a,c,n,4.128719390265086,0.29045630027723,n,f,f,h,u
e,1.4811823854628052,x,w,u,t,a,c,g,3.968710718830648,4.110175586435412,u,f,f,l,w
p,3.2850664167754644,o,t,w,f,f,f,f,2.9595121384128733,16.25264520571425,w,f,f,d,u
p,9.298915213793316,x,h,n,f,s,c,n,6.327283923097512,28.987496989740922,n,f,f,d,a
e,8.004825382951381,x,t,n,t,p,c,o,4.282194151760698,12.854625061048045,n,f,f,d,a
e,10.081146038406873,x,s,w,t,e,c,w,8.149801023252271,18.087233986454947,w,t,l,m,u
p,7.8549189685479925,x,s,y,t,p,c,y,6.456101612452542,32.1583223896,y,f,f,d,u
e,1.058307411075611,o,w,w,f,f,f,f,5.128769186120991,24.45063893216769,w,f,f,d,u
p,10.043124192542157,f,i,o,f,e,c,o,11.56905504695179,19.607286363623057,w,t,r,m,u
e,6.527288146845044,x,t,n,f,p,c,y,6.959874610943227,38.5482271657335,n,f,f,d,u
p,2.9367795682643956,b,h,k,f,s,c,p,5.253138646985599,2.468985572231544,g,f,f,d,u
e,0.8157210720128631,x,g,w,f,a,c,g,3.331446897295725,-0.29799297233994526,n,f,f,m,u
p,2.51186620926736,f,d,o,f,a,c,y,5.7842295956133345,7.322635760810851,k,f,f,m,u
e,11.083582070648669,x,t,o,t,p,c,o,6.501610825835656,37.41666431815507,w,f,f,d,a
p,9.452278333498297,f,k,w,f,s,c,n,4.618790978614431,13.950746608896127,w,f,f,d,a
p,7.05718102801663,x,h,n,f,a,c,w,11.516842576948221,14.753945587607442,w,t,f,g,u
p,2.652931275432173,x,y,n,f,s,c,p,2.6262063916645824,3.1439452821984815,n,f,f,d,u
p,6.308453572897403,f,t,p,f,d,c,w,4.501332222025722,13.363272680402408,p,f,f,d,a
e,1.7308252018886268,b,g,n,f,a,d,g,3.7176753625215273,2.7857155258106525,w,f,f,d,w
e,7.618148473459579,f,s,n,f,a,c,w,10.879162141486882,11.713905260044559,n,f,f,d,a
e,7.2518887745276635,x,i,k,f,a,c,w,10.87126768313522,9.601001338030237,w,f,f,g,a
p,8.912135231124267,f,s,r,f,s,d,y,9.907633462765325,15.33629807530701,w,f,f,d,a
e,8.727528743198214,x,t,w,t,e,c,w,9.19059987683435,16.277512073634952,w,f,l,d,u
p,4.550868026588889,c,k,y,f,x,c,r,8.093699348786869,13.51616801033905,g,f,f,d,a
p,1.3286395571486505,x,h,n,f,a,d,n,4.253334015678818,-0.3284511510731849,n,f,f,h,u
p,7.439168856536022,f,s,r,t,d,c,n,4.874797350613153,11.741339787770011,n,f,f,d,a
p,3.3083772745888167,b,t,k,f,a,d,g,4.572413211109284,3.3173906061453713,g,t,f,d,a
p,0.9209404079631722,b,w,g,f,a,c,g,6.192357364814781,1.2860786413485323,w,f,f,m,s
p,11.547689185854047,f,y,n,f,e,c,y,6.070138525082471,33.142691683701045,k,f,f,d,a
p,5.933707699825188,s,d,o,t,d,c,o,4.740354748633043,9.032863918130134,e,f,f,d,u
e,6.321129396161088,s,t,w,f,d,c,p,4.639560652498977,11.341290308475042,w,f,f,w,a
p,9.425393197485377,x,t,r,t,d,c,y,10.568404616908456,32.787520675110876,y,f,f,d,a
p,1.5713925156643485,x,y,y,f,a,d,w,6.609484153976388,6.280914908846672,n,f,r,h,u
p,7.411173245491504,x,e,n,f,x,c,w,9.140280796943241,11.396961358907518,n,f,f,l,u
p,2.981287899592024,x,s,y,f,x,c,w,5.902903138759747,6.531426045046977,y,f,f,d,u
p,17.029930700027187,f,t,w,f,a,c,w,5.148754024239703,36.14772804434344,w,f,f,d,u
e,10.136402120114777,x,t,y,t,x,c,w,5.610210956705287,19.429116060402905,w,f,f,d,a
p,7.879119110797425,s,t,n,t,d,c,p,5.120946983345989,19.87439983120281,e,f,f,d,u
e,17.085923805382876,p,t,n,t,p,c,g,9.240177804815108,18.231592746288946,w,f,f,m,u
p,8.690283728099734,s,t,o,t,d,c,o,6.807174935993406,16.182395970907542,w,f,f,g,a
p,2.0699508593032956,c,t,u,f,a,f,n,2.725015623110446,7.959409167000334,w,f,f,p,u
e,5.105979580166757,x,t,n,f,a,c,k,6.8789031515321275,5.615912919549372,n,f,f,l,u
p,0.9729666751633368,f,y,y,f,s,c,y,5.238437722696179,2.9433423140328836,y,f,f,g,u
p,3.383872831519623,b,t,g,f,e,c,k,6.6185213382263495,5.481523242025919,y,t,e,m,u
p,7.041261622172009,f,t,w,f,e,c,w,11.184677453613801,27.579520418447796,w,t,f,p,a
e,17.313713601001588,p,y,w,f,a,c,w,23.15818369355157,28.63100940371236,n,t,m,m,u
e,4.991595964570531,o,t,n,f,f,f,f,5.227471254782353,29.50133348505743,n,f,f,d,u
p,0.7642405970193029,x,g,y,f,a,c,y,5.933092168165132,-0.1827990006670852,y,f,f,d,u
e,7.30726786607936,x,i,n,f,e,c,n,4.566889192114978,15.097778063134692,w,t,l,w,a
p,3.087285469045851,b,h,w,f,a,d,k,9.558823676625643,3.9346372841771853,w,f,f,d,w
p,2.884129639209778,x,h,y,f,a,c,w,5.1141141355154325,3.333888734506658,n,f,f,h,u
p,7.42827403187592,b,t,r,f,a,c,n,5.833974364319455,10.515883154835926,w,t,f,g,a
e,6.677257453910914,x,y,n,f,e,c,w,6.972260502033612,13.826907783851935,w,t,f,d,a
p,3.1620917989095787,s,t,l,f,a,d,u,7.674415683392348,6.720131299090576,b,f,f,l,w
p,15.333169849374507,x,t,n,t,p,c,y,6.69264313960209,19.0772762033631,y,f,f,d,a
p,3.814699617493417,s,l,k,f,f,f,f,3.8186213844433023,5.750799082650591,o,f,f,d,u
p,8.666666859676738,s,t,p,f,x,c,p,7.631028639952861,16.393689634314836,p,f,f,l,u
p,2.5755182601312976,b,y,n,f,a,c,y,6.236204785701208,2.7080665470242558,o,f,f,d,a
p,20.028301164411722,x,k,w,t,p,c,w,9.03978367767898,38.113082914631235,w,f,f,d,a
p,2.058092911040085,x,h,l,f,s,c,u,6.271561070618817,5.574011790761284,l,t,e,d,a
e,2.323927315226945,b,g,w,f,a,c,k,6.315921726468811,6.211683715000859,w,f,f,d,w
p,0.7834372863519075,b,g,w,f,a,d,n,3.247397326066769,1.8552029754155899,g,f,f,d,u
e,1.538374393194393,x,y,y,f,a,d,y,3.6922792737306676,12.753165765926166,y,f,f,d,u
e,5.833767272705298,x,g,n,f,e,c,w,5.991246999083778,12.817928071051265,n,t,p,g,a
p,8.790250901044775,b,h,r,f,s,c,n,10.194370951469793,11.823713062075045,n,t,l,d,u
p,17.10230906614751,f,d,e,t,d,c,w,4.958919264880681,29.856846577672698,n,f,f,d,a
p,7.229299773894068,x,h,n,f,x,c,w,10.51285655035997,10.545739975904155,n,f,f,g,u
p,2.1410613245518118,b,i,n,f,a,c,k,3.7106194264841963,1.233043499978027,n,f,f,l,u
p,4.208148727569871,f,t,b,f,f,f,f,5.888581645234563,7.623175935762196,n,f,f,l,u
e,7.590982738854978,s,t,n,f,x,c,u,7.688928341210265,16.561605766168967,n,f,f,d,u
e,6.028058744136521,s,l,n,f,f,f,f,7.292957080336918,57.62900634680243,n,f,f,l,u
e,8.811369404583017,f,t,g,f,a,c,g,5.685886138183931,16.971708025141552,g,f,f,d,w
e,7.572663113239785,f,t,n,t,f,c,f,4.820701286476526,17.332806389279888,g,f,f,d,u
p,3.5359493255764436,x,i,w,f,e,c,p,3.689854313466126,2.51931416358827,w,f,f,g,u
p,8.005526893966355,x,t,n,f,s,c,y,5.746719858258892,10.312455166841662,n,f,f,d,a
p,1.5754442086218399,x,s,y,f,s,c,n,2.9850018154382614,-0.8853182323322302,n,f,f,g,u
e,16.915972756569698,x,e,w,f,e,c,w,11.614688903606773,34.7631321335262,w,t,r,d,a
e,6.813274045427142,o,t,e,f,f,f,f,4.045187622336971,25.873343974414883,n,f,f,d,s
p,12.234553948541425,f,i,n,f,e,c,w,12.890638079379304,14.972890069826052,w,t,p,d,a
e,2.6439905064635876,x,g,w,f,a,d,p,3.21274721355627,2.5338733070575743,g,f,f,d,u
p,2.2935482634965956,x,y,o,f,a,c,o,10.576261293253301,3.0334140209482445,y,t,f,g,a
p,0.8093878576436973,c,k,y,f,a,c,y,4.7177574274674425,0.9677564793665887,y,f,f,g,u
p,9.51888639722457,x,t,n,f,a,c,n,6.703809099450543,7.475551621491922,w,t,z,d,a
p,3.3347492098922107,o,s,w,f,f,f,f,0.012509129025266907,-1.7913528832584333,f,t,f,d,w
p,3.1602752329868875,x,d,o,f,a,c,y,5.820656238329164,3.9182478001316094,o,f,f,m,u
p,2.417057615669391,s,s,y,f,f,f,f,5.762465866285721,4.183216986493253,y,f,f,d,u
p,4.306625500454149,f,k,w,f,x,c,n,5.360563659000084,9.486224454215513,w,f,f,g,a
e,24.051835558530318,p,t,n,t,p,c,g,16.081073410884294,36.93517871844885,n,f,f,d,a
e,10.598114793767955,p,y,w,f,e,c,k,17.751090833482316,14.69173861532659,w,t,e,u,s
e,3.1393699439277176,x,t,n,f,f,c,y,4.209553204083685,20.755343462984563,y,f,f,d,u
p,7.259540464387515,s,t,w,t,d,c,p,7.151198221324128,16.250915292958194,w,f,f,d,a
e,5.5533870392922475,s,s,y,t,d,c,w,5.0425267958919315,9.041577444161295,y,f,f,d,u
p,2.229361701449015,x,t,e,f,a,d,u,8.046582573410292,7.912363950665787,w,f,f,d,u
p,7.156381235353951,b,h,r,f,a,d,w,11.844855693220872,11.412508197252558,g,t,p,d,a
p,4.675529894994349,x,t,r,f,s,c,r,6.882423715307224,13.272166772262288,r,f,f,l,u
e,6.596040150971615,x,t,n,f,p,c,w,7.931069129301413,9.3695025504458,n,f,f,d,a
e,18.751867646129508,s,d,w,t,d,c,o,6.8050896312270535,40.46870292046868,w,f,f,d,u
p,2.706934495475346,f,y,r,f,a,c,w,4.992673548809494,2.515438157622147,n,f,f,m,u
e,1.5391694591578053,f,g,n,f,a,c,n,3.8353335461290383,-0.24995856080721213,n,f,f,d,u
p,1.6411075035404414,p,t,y,f,p,c,g,6.313645340180452,11.57761922673881,y,t,e,d,u
p,2.6537658106623088,o,l,g,f,f,f,f,0.0852347892989313,-2.076340963299722,f,t,f,d,a
e,11.56490537152092,p,y,w,f,e,c,w,21.419694417132526,12.701450159511934,w,t,e,u,w
e,8.154314137311028,o,t,n,f,p,f,n,5.670916212022553,15.220215612008694,n,f,f,d,u
p,17.6120901712193,x,e,w,f,a,c,w,12.416236303240177,37.85611663967303,w,f,f,d,a
e,5.976557651442387,s,i,p,t,d,c,p,3.051566662715401,5.595814181292921,w,f,f,d,a
e,7.232521948107435,s,t,n,f,a,c,b,4.97772551039858,23.970450860116404,w,f,f,d,u
e,4.037130792037945,s,t,g,f,a,d,g,3.996951728972857,3.11237493686145,g,f,f,d,u
e,8.944695713351287,x,h,n,t,p,c,n,9.325528068465628,36.215362580330776,n,f,f,d,u
p,2.8607714815976757,o,s,n,f,f,f,f,0.5353049156140657,-1.7816132012294608,f,t,f,d,w
e,6.207805406400495,x,h,n,f,a,d,w,8.322200347955626,5.753164195199831,g,f,f,d,w
p,4.2146117475679,o,k,w,f,f,f,f,4.847379671559714,35.36398514542184,u,f,f,p,u
p,3.8542505577542645,x,g,k,f,a,d,g,3.499860901943993,2.4867157462599296,g,f,f,d,a
p,10.772661561726093,x,t,w,f,a,c,w,7.871073571403038,16.677763433942175,n,t,e,d,a
p,11.154234408293215,x,i,e,f,a,c,w,12.775928292559882,21.416227062211753,w,t,z,d,u
e,2.7140225322110236,s,d,e,f,d,c,o,5.725352396669152,7.752903890026081,e,f,f,d,a
p,7.8550675078110235,s,s,o,f,d,c,o,4.7742987101105685,19.137842580657107,w,f,f,d,s
p,7.197557247175364,f,h,e,f,e,c,w,4.494877610932604,19.917998258141317,g,t,p,d,u
p,2.699159541018081,s,w,y,f,f,f,f,1.3512355596189867,7.390700654395748,w,f,f,d,u
e,2.2327188208053705,f,d,n,f,a,c,y,4.8224497735607565,3.419145130943999,y,f,p,d,u
p,12.470736252697282,s,s,n,t,d,c,p,8.35591311694733,18.770534264785596,w,f,f,d,a
e,4.2453619601612615,c,l,k,f,x,d,w,7.7278710320302775,10.594300081848603,n,f,f,l,u
e,3.985627372827829,x,g,w,t,x,d,p,7.6259648209694655,3.356795443764011,w,f,f,g,a
e,8.268646783659488,f,y,r,f,e,c,w,4.884217845025294,11.685026672504144,w,t,e,u,u
e,13.138923187886142,x,t,g,f,p,d,y,6.989388235122378,31.064907527113192,w,f,f,d,w
e,3.3129364388798415,f,l,n,f,f,f,f,4.803477680687778,6.06873366681943,n,f,f,d,w
e,6.815426034471176,x,s,n,f,e,c,w,4.573727852568137,12.241513167357278,y,t,r,m,a
e,23.444199536942307,s,t,w,f,d,d,b,5.788028430731807,8.631545815865673,w,f,f,d,a
p,3.2172260714328536,s,t,o,f,d,c,o,4.84326709933651,4.967956673021001,o,f,f,d,a
p,3.7947054377241085,x,t,n,f,a,c,y,4.6922524719835845,12.760780416165735,y,f,f,d,a
p,0.5990417769047831,x,g,k,f,a,c,n,4.304693278556507,2.7358503991058214,k,f,f,g,u
p,8.372671879710726,b,g,w,f,s,d,w,11.440583094557397,11.255204661185202,n,f,f,g,u
p,8.974557312441267,s,k,n,f,s,d,n,4.819341773536773,7.085925653670541,g,f,f,d,u
p,18.092731829511838,x,e,n,t,a,c,w,9.68189640115345,19.546687190875996,w,f,f,d,a
e,15.031228574065675,x,t,n,f,p,c,n,6.4205138623559534,24.375081236305082,n,f,f,d,u
p,2.4243916972356345,f,w,u,f,a,c,p,4.171333313780306,5.176404442180543,p,f,f,d,a
e,1.4654144164496528,s,w,y,f,f,f,f,3.599379862569277,-0.4219857800906608,y,f,f,d,u
p,6.058118231233173,x,h,n,f,a,c,w,7.543420442374764,6.677855345076884,y,t,z,d,w
e,6.3805294681629725,s,s,w,f,e,c,w,5.013793768802372,14.676759867498843,w,f,l,m,a
p,3.63741194481739,s,t,p,f,f,f,p,5.010705796999142,1.1522087377241006,p,t,f,d,w
e,0.6315835101529002,c,g,u,f,a,c,w,2.809186597632597,3.7782756315885706,w,f,f,d,u
e,8.14968036710394,x,h,n,f,p,d,n,4.88503802072124,14.35078456975362,n,f,f,d,u
p,3.7957318664777424,x,k,n,f,d,c,p,4.867305827617534,3.3433703674727506,n,f,f,g,u
p,4.672912484630308,c,i,l,f,a,c,n,5.57467180591856,6.119604870400654,w,f,f,d,a
e,7.958695288451958,x,k,y,f,s,d,y,6.573167095518761,54.851783950617985,w,f,f,d,a
e,7.754392157381412,p,g,n,t,p,c,p,17.483623603868782,3.0002820981545324,n,f,f,d,a
p,13.112903011595606,f,t,e,f,e,c,w,16.398245481608335,19.534836468610678,w,t,f,m,u
p,3.4775981659985096,x,d,o,t,d,c,o,3.714091294271859,5.50961361255578,w,f,f,m,u
p,1.2642077912503815,f,t,b,f,d,d,w,3.111974958384844,2.926360868010777,n,f,f,h,u
p,11.279125709969001,f,y,n,f,a,c,y,8.108033008588315,34.01121513429204,n,t,r,h,u
p,17.886584206395618,p,g,n,t,e,c,w,7.122012456019746,17.279803724002786,w,t,p,d,u
p,9.562374266713745,x,s,y,t,p,c,y,6.12326565379121,20.52514578837054,y,f,f,d,u
p,1.481335957079242,b,g,g,f,a,c,g,2.240074057560874,1.1114966431279714,g,f,f,d,u
e,14.41173507718533,x,h,n,f,e,c,w,14.25783820615562,19.53248277875487,w,t,g,d,a
p,4.735998626056477,x,e,e,t,p,c,e,5.89236602816866,16.86662229444149,e,f,f,d,a
p,7.198994835277164,f,t,n,f,e,c,n,10.036293258531057,13.672236336369576,n,t,z,d,a
e,4.743925708293062,f,s,y,f,a,c,n,5.744036759217418,6.629272961734219,o,t,r,d,u
e,8.80540012805838,x,t,g,f,p,c,w,13.949475446021113,20.103891454370306,w,f,f,d,a
p,1.9368790296498006,b,y,y,f,a,c,p,2.902918202583824,2.713887448755594,w,f,f,d,u
p,1.7256096308414028,b,g,n,f,e,c,w,6.596547157253674,4.458563726753701,n,t,f,l,w
e,0.7355891162309535,x,i,n,f,a,c,g,3.6325842330931533,-0.012580765903916546,y,f,f,m,a
p,10.222604807870688,x,k,y,f,a,c,y,9.646619653630431,17.31534295270816,y,t,p,d,a
e,8.287716527919711,x,h,n,f,p,c,y,4.910501272874825,26.562577587053358,n,f,f,d,u
e,11.242210604019927,p,y,w,f,a,c,w,26.788164937886492,32.50856970559326,n,t,m,l,u
p,7.61792415738691,x,t,w,t,d,c,n,5.1792221566870555,33.466370596014485,w,t,l,d,a
e,2.8471601929601857,x,y,y,f,a,d,y,5.497661058201846,1.5969484520376822,o,f,f,m,w
p,8.875755533203687,x,t,l,f,a,c,e,6.520563590804114,19.153063462253662,w,f,f,d,a
p,12.845446240099584,x,t,w,t,a,d,w,8.58587733556837,24.90679110892967,w,f,f,d,w
e,6.699858245252846,x,e,n,f,a,c,w,6.736367124831318,20.093838567642255,w,t,z,d,a
e,2.910273090704247,b,g,n,f,a,d,n,5.90437819354282,3.288100173216553,g,f,f,d,u
e,3.9662137973240843,f,s,n,f,a,c,g,5.712080234930511,5.951649359701048,y,t,l,m,u
p,13.821645301896702,x,k,n,t,p,c,p,9.959165886958864,27.592337125296563,n,t,p,l,a
e,8.107893792465632,f,w,n,f,s,c,p,5.366651467956959,15.376740843513861,n,f,f,d,s
p,3.699544652246421,o,l,w,f,f,f,f,0.07305851463375795,-0.8425544845606621,f,t,f,d,w
p,23.15177191322009,f,l,w,f,d,d,p,8.777482982680368,11.608416557469592,w,f,f,d,a
p,17.84032050856876,x,y,e,f,e,c,w,16.830742164797336,28.248667358998638,y,t,e,d,a
p,8.644304573083113,b,y,w,f,a,c,w,6.9529787057017485,15.39253084080099,y,t,e,d,a
e,21.56592748152457,f,y,n,f,a,c,w,23.48603154710116,26.601823804049417,n,t,m,d,u
e,1.1203162947181071,x,k,y,f,p,d,n,5.23357302131743,8.336483228687277,y,f,f,d,u
p,1.2211642442663035,x,t,y,f,a,c,w,4.356900968391436,0.38930245211880754,w,f,f,d,u
p,6.325033775052518,f,t,p,t,s,c,p,4.917102045283102,13.549787010812867,p,f,f,d,a
p,3.378529688807924,o,s,o,f,f,f,f,0.18019450025412448,-1.788064272443827,f,t,f,d,w
e,10.313089099436402,f,y,w,f,a,c,w,29.687843903952714,34.109399805605555,n,t,m,m,u
e,6.326400719290063,o,t,y,f,f,f,f,4.6047068004226155,33.731079497438465,n,f,f,d,u
e,8.705644378771119,f,h,n,f,a,d,g,5.3971604446803525,18.023077549682085,g,f,f,d,u
e,9.983164793698615,p,y,w,f,e,c,p,16.277550190556088,14.735652374421392,w,t,e,u,w
