class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,4.554912062074228,b,h,n,f,x,c,p,7.439259632142873,6.920521991470086,n,f,f,d,a
p,4.202477136859915,x,g,w,f,d,d,n,4.819775049107212,6.063226260866508,n,f,f,l,u
p,4.181257204071954,c,t,g,f,a,c,g,4.301237336007342,5.339141983032677,w,f,f,d,u
e,9.448140494514337,f,t,w,f,a,c,k,7.564669166268637,18.970362851371853,n,f,f,d,w
p,10.59701315641906,x,t,n,f,a,d,w,7.163297261588127,17.569645980005482,w,f,f,d,u
e,7.777008500594863,x,t,y,f,x,c,y,6.92631384241672,15.362830322728454,w,f,f,d,a
e,4.507179397838126,x,d,n,f,p,d,y,5.053761607158498,9.433792540107861,o,f,f,g,a
p,6.181704398799796,x,h,n,f,x,c,w,10.967882122484301,6.265923858932596,n,f,f,d,a
p,5.307055933016737,x,g,y,f,a,c,y,5.416399012027537,5.702792758582496,y,f,f,g,u
e,9.492104214721957,x,y,n,t,e,c,p,7.6835515570073225,14.190393364973147,n,t,p,d,u
p,8.17613296211611,f,i,w,t,e,c,n,6.828435214456738,13.51961467229258,w,t,l,g,u
p,11.172397212868102,x,h,o,f,a,c,w,11.525247170124082,16.02042793154102,w,t,r,d,u
p,7.326561282282707,s,t,r,t,d,c,o,5.00541945444757,12.21213038041968,n,f,f,d,a
e,6.021368258662284,f,t,w,f,a,d,n,4.751489541335497,6.315120235703883,w,f,f,d,u
e,13.144226558984716,f,t,w,f,a,c,w,7.8942847474997615,17.793772634617092,n,t,e,d,a
e,5.258581582977768,f,g,g,f,a,d,g,5.804527917355433,7.878361660293962,o,f,f,d,a
p,8.03126038704875,x,e,o,t,p,c,n,4.29242158521085,13.671437848504013,e,f,f,h,a
p,5.087551269743617,c,t,n,f,a,c,w,4.77401119977095,5.220335196534712,g,f,f,d,u
p,10.081708260231315,s,t,p,t,d,c,p,9.519559127245323,18.23067137394527,w,f,f,d,a
p,6.054036787327485,x,y,n,f,a,c,k,7.833643005027055,4.5461806962839795,y,t,z,g,w
p,4.500348121486285,x,s,y,f,a,c,k,6.328609527347545,6.811150093272061,o,t,f,m,s
p,15.33400034949973,f,t,n,t,d,c,n,6.558947791990222,22.748972121074424,n,f,f,d,u
p,6.0519630160129205,s,t,n,f,f,f,f,4.560389042999207,33.726380009871704,n,f,f,d,a
e,12.265450070946034,x,t,y,f,a,d,w,8.989224006591144,22.470761542891488,n,t,e,d,u
e,11.62953128722231,s,s,b,f,d,d,o,5.459315953733642,17.309766326710907,w,f,f,d,w
p,4.678462910353835,f,y,n,f,s,c,p,4.664370876334628,6.652921866828749,w,f,f,m,u
p,9.69155931361304,x,s,n,f,x,c,n,8.584863131506305,8.014536273757601,n,f,f,d,a
e,5.389519084915051,x,y,n,f,e,c,w,5.425564732300312,8.677464221537193,n,f,f,d,a
p,14.237128593667244,x,k,n,f,d,c,n,6.36131568783419,18.972016334161513,n,f,f,d,a
e,9.15445637918112,x,t,y,f,x,c,y,7.543523010760319,22.897319916924463,w,f,f,d,a
e,5.86072768616011,s,t,n,t,d,c,r,5.4859335807743905,10.680387088771798,w,f,f,d,a
p,0.7021023092337101,x,g,e,t,a,c,w,4.823595692914082,5.148957469902127,n,f,f,d,a
p,6.98697356121962,b,y,w,f,a,c,w,12.803380135570332,12.714338411156357,w,t,l,g,u
p,19.295202115113316,x,k,n,t,d,d,y,8.379210784170747,47.81696703783044,n,f,f,d,u
p,6.138275615723899,x,y,n,f,a,c,n,4.849422796586511,9.880733145079514,w,t,f,d,a
p,5.793734824382283,b,k,n,f,f,c,y,6.719149214303283,12.562272981126295,n,t,f,d,u
p,4.309242641099899,o,s,n,f,a,f,f,6.542185928796196,3.4739322515570707,n,t,f,d,a
e,5.846736376446217,x,t,y,t,x,c,y,6.278605760980698,12.947894104865636,w,f,f,d,a
p,6.134687098453332,f,d,e,t,d,c,w,5.3860937822961406,6.3267953373407995,e,f,f,d,a
e,6.588990410416216,x,s,n,f,x,c,w,5.708595645883557,9.039347030548878,n,f,f,d,w
p,4.846658136341401,b,t,n,f,a,c,g,4.934870713561628,3.9291279569008775,n,f,f,d,a
e,4.784086329773068,s,w,y,f,f,f,f,4.746178119218349,13.097111197387683,o,f,f,d,a
e,3.5302383535318933,f,d,n,t,d,c,p,5.0882930761244705,5.914340079874618,n,f,f,d,a
e,5.4825063223679305,x,h,y,f,p,c,y,8.853365183123906,13.932781860583248,y,f,f,d,a
e,7.199616370852087,o,t,n,f,a,c,w,4.1359080825739545,19.559150328611146,n,f,f,d,u
p,6.82849525356205,x,k,y,f,p,c,n,4.618228384783417,6.704811200333695,o,t,f,d,u
p,10.050619942821756,x,t,o,f,a,c,w,9.237623905232539,23.338478645434126,o,t,f,d,u
p,4.586582522280433,x,t,n,f,a,c,w,6.6434789146104105,8.016518093340132,w,t,f,d,u
e,8.674311470569307,x,k,n,f,p,c,y,6.38652593545372,12.408426836755776,y,f,f,h,a
p,8.041981892873473,f,t,n,f,s,c,g,8.482548486860093,8.881201225302576,n,f,f,d,a
p,4.982760015248643,s,t,u,f,a,c,w,7.340536842535695,6.049673611947166,y,f,f,d,u
e,10.497481229898899,x,t,n,t,p,c,y,8.447040771026714,18.271835619601948,n,t,p,d,u
p,2.2125053509553427,f,g,y,f,a,d,n,4.7210832324761824,3.4955225163255124,n,f,f,d,a
e,4.864458982404112,f,d,n,t,d,c,p,4.290993564111459,5.9777956210469565,n,f,f,d,a
e,7.560508437268075,s,t,u,f,a,c,w,4.1374381325603595,16.86580473591543,w,f,f,d,u
e,4.604429311389361,x,s,o,f,p,c,e,6.964250273020474,10.991500199976505,y,f,f,g,u
e,10.346446429842565,f,s,k,f,x,d,w,6.999586611856135,18.708806068878612,w,f,f,d,a
p,7.46355886871366,x,t,y,f,x,d,y,7.149368937400802,14.645032000915396,w,f,f,d,a
p,4.0717928906771395,o,s,g,f,a,c,g,-0.264519507646638,-0.26151211366450955,f,f,f,d,a
p,4.061630716127902,s,w,o,t,d,c,y,4.073439018205794,4.994696827060452,n,f,f,d,a
p,3.7802235571882754,f,s,y,f,a,c,y,5.805532406359232,7.091486046076061,y,f,f,d,u
p,8.846195616024314,f,h,r,f,a,c,w,10.356664893558037,15.656845274692714,w,t,p,d,u
e,12.102713957861376,x,s,n,f,x,c,n,8.230358028321973,22.939422734445184,p,f,f,l,a
e,7.074724366618995,x,t,e,f,x,c,w,5.959674080165845,16.339531119444832,w,f,g,d,u
p,2.555974108828,b,t,n,f,a,c,k,6.091799395904862,6.234063316956623,y,t,z,d,w
e,4.31270812868839,s,y,n,t,a,d,p,5.2428053867030195,4.861457033763548,n,f,f,h,u
p,2.3661035591774513,f,d,o,f,d,c,y,5.122984973274377,5.704827065091343,o,f,f,d,a
p,5.027067717043531,f,s,g,f,d,c,w,5.541993646893601,11.268487939380927,n,f,f,d,u
e,6.679202909595298,x,t,n,f,e,c,n,5.054189456039384,12.570262944501321,g,t,g,d,a
e,7.331103874703721,x,h,y,f,a,c,y,7.793434108817547,12.701934449133898,o,f,f,d,u
p,15.48458261328872,x,k,n,t,p,c,y,7.745362057349128,23.835673787953706,y,f,f,d,u
e,12.798588092568542,s,s,w,t,d,c,n,7.72612207570118,21.673850043553507,w,f,f,d,a
p,11.451007200949745,s,t,n,t,d,c,w,6.232342047125099,8.638722576385552,n,f,f,l,u
p,8.610578742668169,x,t,n,t,x,c,n,7.006183214088782,16.989111875309426,g,f,f,d,a
e,2.99875607320598,s,l,n,f,f,f,f,5.095732413046735,34.77657854787044,n,f,f,d,a
e,8.187258425819754,x,d,y,t,p,c,y,8.14967129287954,18.421273333842887,y,f,f,d,u
p,5.419171988391449,s,d,n,f,d,c,y,5.382741669135861,6.358349669220296,n,f,f,d,a
e,1.873579555880442,f,t,w,f,d,d,w,4.296287851975727,7.2268835896523385,w,f,f,g,u
e,7.183708609047453,x,t,y,f,e,c,n,5.2973094203863935,13.382695367002217,y,t,g,d,a
p,3.503983711890816,b,h,n,f,a,c,n,4.756230514647,4.709865295548795,n,f,f,d,u
e,13.644631301605651,f,t,n,f,e,c,w,11.984846906705773,16.58043403352529,w,f,f,d,a
p,7.754800260711848,s,t,g,t,d,c,w,4.686264615858156,13.49894455526965,r,f,f,d,a
p,3.569767692522056,x,k,e,f,a,c,e,5.825687635975855,5.679543857297162,n,f,f,d,u
p,5.665109669576848,b,t,w,f,e,c,w,8.856335070452317,7.114669845346379,w,t,l,d,a
p,4.040960200047154,x,i,k,f,a,c,r,5.680020311726796,5.6053397969666054,w,f,f,g,a
p,15.809332388004092,s,s,n,f,d,c,y,6.126728967274217,31.629709501461974,k,f,f,d,u
p,5.708554936559324,f,d,n,t,d,c,y,4.923722515467686,6.881743982027379,n,f,f,d,a
e,3.980435410002146,x,g,w,f,d,d,w,4.403904268139012,7.211319570262642,y,f,f,d,a
p,5.488514481068826,f,t,w,f,x,c,p,7.732735693501505,6.162715677445854,p,f,f,l,a
p,7.666153267111491,x,h,n,f,e,c,n,10.319283523569837,14.655936503488055,w,t,l,d,a
p,4.374733374574826,b,t,y,f,a,c,n,5.092089150898052,6.555984860627882,y,f,f,g,a
p,4.875148523666077,x,t,e,f,x,c,p,5.55510119651745,5.880557686039358,e,f,f,d,u
p,13.641388958386168,f,t,r,f,x,c,n,10.874315663735034,16.694440524177438,w,f,f,d,u
p,5.301294438636577,x,e,e,f,a,c,w,6.226824765496247,8.93424920186071,y,t,z,d,u
e,6.491631574884204,x,t,y,f,a,c,w,6.244427421512868,12.75672486314629,g,t,g,d,u
p,4.002845001650458,x,e,n,f,a,c,k,9.967084949073971,4.853237634836871,y,t,z,g,w
e,4.411396311849899,c,g,n,f,a,c,g,4.560380136683628,5.518413618712386,g,f,f,d,u
e,4.768900206195037,f,g,g,f,a,c,g,4.6906976648557395,6.8590750411896595,g,f,f,d,u
e,7.003623411687413,x,y,n,f,a,c,w,7.914275423923413,14.334230040323531,n,t,e,d,a
p,11.759361696491215,x,i,y,f,a,c,y,9.153623030543939,21.32052407631579,y,f,f,d,a
p,5.735946786932738,f,d,n,f,d,c,y,5.726794347288058,5.295873291244121,n,t,f,d,u
e,3.2139635419827774,s,y,n,f,a,d,p,5.589781693356469,7.787478570272071,n,f,f,l,u
p,2.5323495594947323,f,t,p,f,a,c,w,5.11507680228765,6.3677817415974065,w,f,f,d,a
e,6.125058880000661,f,t,n,f,x,c,w,6.609200116308723,7.964770101044799,w,f,f,d,a
p,4.464619569966399,o,t,g,f,f,f,o,4.011218114514614,6.2705002846944495,n,f,f,d,u
p,3.568650708450396,f,t,u,f,x,c,w,5.264189733051982,5.875322557789436,w,f,f,d,u
p,7.607958137690831,x,d,n,t,d,c,n,6.585259715335288,11.195185010296186,n,f,f,d,a
e,7.483906404474841,s,t,y,f,d,c,w,6.739946823816949,15.016315172788914,w,f,f,d,a
p,1.1681989538985644,x,g,w,f,a,c,y,4.674558468726038,5.727476256320352,n,f,f,d,a
p,4.053855800892351,b,y,n,f,a,c,g,6.9147821807384515,8.626660097002338,n,t,f,d,a
p,4.176572863155309,x,h,e,f,a,c,e,4.94361379642903,5.959348174934259,e,f,f,d,a
e,13.035100815701346,x,e,n,t,e,c,w,9.762600781157873,19.236599430617005,w,t,f,d,a
e,12.398521190650587,x,e,n,t,p,c,y,8.720446428674233,23.87215529229683,e,f,f,d,u
p,7.108960484300688,x,h,r,f,a,c,g,9.501964349835715,18.4369383699568,w,t,p,d,a
e,6.554400305315154,s,y,y,f,f,f,y,5.127564609866056,29.302055567062403,n,f,f,d,u
p,5.997582893978076,x,y,y,f,a,c,w,6.448044511097082,6.092506335446788,y,t,r,h,u
e,9.207656664733602,o,t,n,f,f,c,f,5.0394254485933585,23.521692893531522,n,f,f,d,a
e,3.664971810687925,f,s,n,f,x,c,w,5.72586005916193,6.97210123717803,w,f,f,l,a
p,2.557048975452185,f,y,w,f,a,c,w,5.042250091154845,6.505324765623554,w,f,f,p,a
p,5.864245629680768,f,t,y,f,x,c,w,6.43424709909616,13.192653013089846,w,f,f,d,u
e,5.668408705387853,x,t,y,f,s,d,y,6.938329779258252,12.344403251038946,y,f,f,d,u
p,3.5906245275653714,x,t,n,f,x,c,w,6.06402995509299,5.375918028210396,n,f,f,d,a
e,9.53921659840856,p,y,n,f,s,c,p,11.228194369711833,21.493978486523172,n,f,f,d,u
p,3.529565859999747,s,t,w,t,d,c,o,5.199353195067752,6.674234879947837,w,f,f,g,a
e,16.78673292298791,p,y,n,f,a,c,w,6.777065914378677,22.5213924788157,n,t,f,d,a
e,4.484194631854241,x,h,n,f,x,c,n,5.276674026757496,5.344276906198559,w,t,f,d,w
p,11.190269948481111,s,t,n,t,d,c,n,6.160451936433222,17.41463445718453,n,f,f,d,a
p,11.919278750471204,x,t,n,f,p,c,w,10.16199259527999,33.709286683024445,w,f,f,d,a
e,7.868611667089632,x,e,w,t,a,c,g,7.052798815405419,17.519785372227247,w,t,f,d,a
p,4.523519459046025,f,i,k,f,e,c,r,6.407935292351593,6.864346989193253,y,f,f,d,a
e,2.0145749113994356,x,t,o,f,a,c,o,4.740339121554203,7.175991189242963,w,f,f,m,a
p,7.393216388994553,x,w,n,f,s,c,p,6.255594791662744,6.976258656311958,n,f,f,d,w
e,4.11940127769899,x,t,u,f,a,c,w,4.143525885342562,6.699827869159889,y,f,f,d,a
e,12.711582034904978,x,t,n,f,e,c,p,9.978946973722808,25.748077691576164,w,f,f,d,a
p,7.58700061385497,x,y,y,f,a,c,y,8.548149104530491,12.280707240216026,y,t,r,d,u
p,5.1057160417817755,f,t,k,f,s,d,g,5.768393023499574,7.1734319716382196,g,f,f,d,a
e,6.673429088102991,f,t,w,f,e,c,w,6.287995620364713,11.297728101851561,w,t,g,d,a
e,14.679095099334678,p,e,w,f,a,c,w,6.104251573088433,18.409739086604393,w,t,f,l,a
p,5.2456803981299105,x,s,y,f,e,c,k,7.107709314989822,9.04632175219993,y,f,f,d,a
p,8.55143972127046,x,s,n,f,d,c,n,10.160765964824364,8.462946769683306,n,f,f,d,u
p,2.203725612828753,p,t,n,f,a,c,n,5.529437480436777,7.376023042370029,y,t,e,m,u
p,2.699236787687047,o,t,r,f,a,f,f,4.163054498349532,17.039556559713944,n,f,f,d,s
e,5.180100739022055,x,t,n,f,a,c,w,5.925017381813079,5.8237280841503765,e,f,f,l,u
p,4.54806254829626,x,k,y,f,d,d,y,4.604823487569214,5.800581905303234,n,f,f,h,u
p,4.842655596100345,f,t,u,f,a,c,w,5.820521971523643,8.077962939624877,w,f,f,p,u
e,3.134573472502977,x,s,o,f,d,c,y,4.89671611349393,8.112465759172997,w,f,f,m,a
p,5.748846274404934,s,t,n,f,d,c,o,4.8027237900034105,11.287193480879493,n,f,f,l,a
p,4.986446840142091,x,t,n,f,p,c,n,4.9365757608069085,6.346764779563868,n,f,f,d,a
p,5.925570657883958,f,g,n,f,s,c,y,6.269694729214231,9.075916013273925,n,f,f,d,u
p,4.641544736811941,p,g,g,f,a,c,g,4.289698396811427,5.840744235650597,w,f,f,d,u
p,5.881363661875916,c,h,n,f,a,c,n,6.247112434820378,7.18901908303604,y,f,f,g,u
e,2.5560276091170695,f,g,n,f,x,d,p,6.735400298890617,6.8031247093943925,n,f,f,g,a
p,12.777131427965402,x,t,n,f,d,c,n,8.743410375185139,27.63882774295168,w,f,f,l,a
e,6.1124618269695254,x,h,n,t,p,c,y,7.310243290948375,13.30425910786793,y,f,f,d,a
p,4.2862959008637755,c,t,y,f,x,c,r,5.205164134479296,8.71505597965081,w,f,f,d,u
p,4.111859338136408,b,s,y,f,a,c,y,6.882423879219706,8.667182724314072,y,f,f,d,u
p,6.276670050496669,s,d,o,f,d,c,o,4.241982878322961,7.245827559502919,o,f,f,d,u
p,8.14066139560115,x,t,n,f,p,c,w,8.351731199646807,36.400886982791604,n,f,f,d,u
p,5.3427448231608246,p,s,y,f,a,f,f,5.335824347270298,0.9872486329807899,n,f,f,d,s
p,5.759345199929769,f,y,n,f,e,c,n,6.054829840648796,6.688481278139409,w,t,e,m,a
e,2.420861254795476,f,h,n,f,a,c,n,7.82734949654779,7.245863333531008,y,f,f,d,a
p,5.5026626937211995,o,s,w,f,a,c,k,4.041385561513844,19.95417772165829,w,t,e,d,a
e,5.883773840566462,x,d,e,t,a,c,r,6.190110516682855,5.945880794872005,w,f,f,d,a
e,13.771936845479592,x,t,e,f,a,d,w,7.4534895357613795,38.74370100286048,w,f,f,d,u
e,7.666450131392393,s,t,o,t,d,c,o,4.944411473258619,11.779921046881828,w,f,f,d,a
e,8.324563750736662,s,d,e,t,p,c,o,4.835191012059516,11.238087112198624,e,f,f,d,u
e,9.423663974939744,s,t,g,t,d,c,w,6.093752603465459,27.015426908591067,w,f,f,d,u
e,6.892421519507662,f,e,b,f,a,c,b,4.109701210181422,16.994648673822958,w,t,l,d,a
e,52.87522539472317,o,y,n,f,p,c,y,6.947928941187021,60.42826681076694,n,f,f,d,s
p,3.897475478606839,o,l,n,f,f,f,o,5.6551658085401355,46.19260523056404,n,f,f,d,u
e,5.58997526777853,o,t,e,f,f,f,w,5.905543723086727,26.23865996858316,n,f,f,d,a
e,6.494264224777586,f,t,y,f,a,c,w,6.443071946090104,16.629311049833355,g,f,f,d,w
e,15.31492333592894,p,t,n,t,a,c,w,11.8240815225034,16.018764183587304,w,t,f,d,a
p,8.231845022385345,x,i,y,f,s,c,n,6.549012154196726,13.708598246009299,w,f,f,d,a
e,4.824813360249833,x,g,n,f,a,c,g,5.440893045471904,6.036653854503921,n,f,f,l,a
p,6.440611122658715,f,t,y,f,x,c,w,4.389497455138831,10.229934177613606,w,f,f,d,a
p,14.359151609419307,x,s,k,t,d,c,w,6.030819137101884,26.573539796008355,n,f,f,d,u
p,6.281523102729869,x,k,n,f,p,c,y,5.6674087695900495,9.465359974836387,o,f,f,d,a
e,7.128466649417226,x,t,g,f,a,c,w,6.846441350070153,15.032340559718623,w,f,f,d,a
p,5.480902783940072,b,t,w,f,a,c,n,6.622906572365971,7.197210417445996,w,f,f,d,u
p,4.0377680631705735,x,s,k,f,f,f,f,3.3066268142405235,9.872743519423036,w,f,f,d,u
p,3.5483543610270925,f,s,y,f,d,c,y,4.793642318149983,5.2267654217922574,y,f,f,g,a
p,4.252540408756715,b,g,y,f,a,c,n,3.8979819882179356,5.052244180164188,n,f,f,d,u
p,13.791917832308568,s,t,r,t,d,c,o,5.709759373012314,18.394642425531025,w,f,f,d,a
p,6.508226624711602,x,t,n,f,d,c,y,6.182199632424829,9.018789860617977,n,f,f,d,a
p,3.5977377584424266,x,s,y,f,a,c,y,6.4195392274962275,5.5716144990771195,y,t,z,d,s
e,9.674411352442824,f,t,e,f,a,c,w,6.744464356144393,19.66260461696111,w,t,g,d,u
p,4.830815684471163,x,i,n,f,s,c,n,4.370359360032131,9.303798279902116,w,f,f,d,a
e,8.875123457648462,s,t,n,f,s,c,w,6.963249945245634,18.270669102052228,w,f,f,d,a
e,7.6897394467937,x,y,y,t,p,c,y,6.755728791100058,11.714722840347958,e,f,f,d,a
e,4.688421965874984,f,k,n,t,p,c,e,4.988251192775447,7.524732564562721,n,f,f,h,u
e,10.366235017008863,x,h,y,t,x,c,n,10.128526913304494,18.45689242255928,n,f,f,d,a
e,5.760488625386609,x,t,y,f,a,c,o,4.701859622236997,15.09867892120585,w,f,f,d,a
e,5.935298251532801,x,t,o,t,d,c,o,4.368782830154956,9.600300571604958,w,f,f,d,u
p,8.150848999423589,x,y,n,f,a,c,n,8.600460716692801,11.56178072437605,y,t,f,d,u
p,4.1032419069964865,c,g,n,f,a,c,w,6.736339669806047,6.011947760097934,y,f,f,h,u
p,5.598064790276688,x,h,r,f,a,c,w,10.230262775689802,12.58975412746191,w,t,g,d,u
p,15.570718132620323,s,s,n,f,p,c,y,8.034888857543741,40.769951912020595,y,f,f,d,a
e,11.355566073084804,f,y,n,t,e,c,n,5.806441143442473,19.820459380762713,w,t,f,d,a
e,4.113733625088114,f,w,n,f,a,d,g,6.132642874957982,7.806707174792209,w,f,f,g,w
p,4.851358628308094,b,t,y,f,a,c,n,6.812625841183762,7.482788951499757,n,f,f,g,a
p,7.157470702045598,s,l,w,t,d,c,o,5.062354410057519,6.554492498486152,w,t,f,g,u
e,10.296153920149326,f,s,n,f,a,c,w,11.265601643461647,16.652813992992932,w,f,f,d,u
p,1.2830703800230108,b,g,y,f,a,c,n,4.359886849926153,6.976216870146727,n,f,f,d,u
p,4.583217086761544,f,k,w,f,a,c,p,4.272730474003357,6.99614978112067,n,f,f,g,u
e,8.667527150858021,f,s,w,f,e,c,p,10.133565037086129,13.128973381064867,w,f,e,g,a
p,1.3926954098422595,f,t,w,f,a,c,w,3.828531068691336,7.083031013093907,w,f,f,p,u
e,7.058415853640172,f,t,n,f,a,d,o,8.63309763560498,16.56528875317474,n,f,f,d,w
e,10.952381265628672,s,s,b,f,x,c,n,5.497468056733739,21.249165195663274,w,f,f,d,w
p,4.648920251257793,b,t,n,f,a,c,k,5.3795316149985855,6.116836103125703,n,t,f,g,a
e,5.628428836628664,s,t,n,f,d,c,b,5.803780124464905,8.111210900524577,n,f,f,d,a
p,4.800570782511981,f,t,n,f,x,c,u,4.422483199195067,8.074374187958249,w,f,f,d,u
e,3.047525858141941,f,y,n,f,d,d,g,4.033374192713431,7.891852061657394,w,f,f,g,u
p,8.760785032556518,x,t,u,t,x,c,u,9.243391283952093,21.008352664252428,u,f,f,d,a
e,8.586469935132905,p,y,n,f,a,c,w,6.368578004621085,21.861130797121717,n,f,f,d,a
